time, x1, x2, x3
5.75,0.0393022,0.013884,0.0353765
5.76,0.0388075,0.0143027,0.035374
5.77,0.0383087,0.0147173,0.0353714
5.78,0.0378057,0.0151277,0.0353687
5.79,0.0372987,0.0155339,0.0353661
5.8,0.0367877,0.0159358,0.0353634
5.81,0.0362728,0.0163334,0.0353607
5.82,0.0357539,0.0167266,0.0353579
5.83,0.0352311,0.0171154,0.0353551
5.84,0.0347045,0.0174997,0.0353523
5.85,0.0341741,0.0178794,0.0353495
5.86,0.0336399,0.0182547,0.0353467
5.87,0.0331021,0.0186252,0.0353438
5.88,0.0325606,0.0189912,0.0353409
5.89,0.0320154,0.0193524,0.0353379
5.9,0.0314668,0.0197089,0.035335
5.91,0.0309146,0.0200606,0.035332
5.92,0.0303589,0.0204074,0.035329
5.93,0.0297999,0.0207494,0.0353259
5.94,0.0292374,0.0210864,0.0353229
5.95,0.0286717,0.0214184,0.0353198
5.96,0.0281027,0.0217455,0.0353167
5.97,0.0275305,0.0220675,0.0353135
5.98,0.0269551,0.0223843,0.0353104
5.99,0.0263766,0.0226961,0.0353072
6,0.025795,0.0230026,0.035304
6.01,0.0252105,0.023304,0.0353007
6.02,0.024623,0.0236001,0.0352975
6.03,0.0240325,0.0238908,0.0352942
6.04,0.0234393,0.0241763,0.0352909
6.05,0.0228432,0.0244563,0.0352876
